customerkey,firstname,lastname
11000,Jon,Yang
11001,Eugene,Huang
11002,Ruben,Torres
11003,Christy,Zhu
11004,Elizabeth,Johnson
11005,Julio,Ruiz
11006,Janet,Alvarez
11007,Marco,Mehta
11008,Rob,Verhoff
11009,Shannon,Carlson
11010,Jacquelyn,Suarez
11011,Curtis,Lu
11012,Lauren,Walker
11013,Ian,Jenkins
11014,Sydney,Bennett
11015,Chloe,Young
11016,Wyatt,Hill
11017,Shannon,Wang
11018,Clarence,Rai
11019,Luke,Lal
11021,Destiny,Wilson
11022,Ethan,Zhang
11023,Seth,Edwards
11024,Russell,Xie
11025,Alejandro,Beck
11026,Harold,Sai
11027,Jessie,Zhao
11028,Jill,Jimenez
11029,Jimmy,Moreno
11036,Jennifer,Russell
11037,Chloe,Garcia
11040,Jesse,Murphy
11041,Amanda,Carter
11042,Megan,Sanchez
11043,Nathan,Simmons
11045,Leonard,Nara
11049,Carol,Rai
11050,Alan,Zheng
11052,Heidi,Lopez
11053,Ana,Price
11054,Deanna,Munoz
11055,Gilbert,Raje
11056,Michele,Nath
11057,Carl,Andersen
11058,Marc,Diaz
11059,Ashlee,Andersen
11060,Jon,Zhou
11061,Todd,Gao
11062,Noah,Powell
11063,Angela,Murphy
11064,Chase,Reed
11065,Jessica,Henderson
11066,Grace,Butler
11068,Tiffany,Liang
11069,Carolyn,Navarro
11070,Willie,Raji
11071,Linda,Serrano
11072,Casey,Luo
11073,Amy,Ye
11074,Levi,Arun
11075,Felicia,Jimenez
11076,Blake,Anderson
11077,Leah,Ye
11078,Gina,Martin
11079,Donald,Gonzalez
11080,Damien,Chander
11081,Savannah,Baker
11082,Angela,Butler
11083,Alyssa,Cox
11084,Lucas,Phillips
11087,Tamara,Liang
11088,Hunter,Davis
11090,Trevor,Bryant
11091,Dalton,Perez
11092,Cheryl,Diaz
11093,Aimee,He
11094,Cedric,Ma
11095,Chad,Kumar
11096,Andrés,Anand
11097,Edwin,Nara
11098,Mallory,Rubio
